Year,line_no,DayType,sheet,Time_Range,direction_name_EastNorth,direction_name_WestSouth,Revenue_Hours,Service_Hours,Average_Trips_Per_Clock_Hour_Per_Direction,Average_APC_Boardings_Per_Revenue_Hour,Average_APC_Boardings_Per_Trip,Average_Peak_Passenger_Load_EastNorth,Average_Peak_Load_Factor_Percentage_EastNorth,Average_Peak_Passenger_Load_WestSouth,Average_Peak_Load_Factor_Percentage_WestSouth
2017,620,SAT,Fall,24:00-04:00,NORTH,SOUTH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017,620,SAT,Summer,04:00-06:00,NORTH,SOUTH,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017,620,SAT,Summer,06:00-09:00,NORTH,SOUTH,52.5,65.7,1.66666666666667,97.1064516129032,95.4166666666667,41.5,55.3333333333333,80,106.666666666667
2017,620,SAT,Summer,09:00-15:00,NORTH,SOUTH,216.75,216.75,2,68.9459225534894,138.333333333333,52.462962962963,69.9506172839506,80.5,107.333333333333
2017,620,SAT,Summer,15:00-18:00,NORTH,SOUTH,107.55,107.55,2,47.8049280381609,95.1666666666667,49,65.3333333333333,40.8240740740741,54.4320987654321
2017,620,SAT,Summer,18:00-21:00,NORTH,SOUTH,96.6,98.55,1.66666666666667,52.4419189362492,118.166666666667,63.5833333333333,84.7777777777778,48.9074074074074,65.2098765432099
2017,620,SAT,Summer,21:00-24:00,NORTH,SOUTH,40.65,46.5,1.14814814814815,112.224364791289,112.923076923077,90.3333333333333,120.444444444444,12.5,16.6666666666667
2017,620,SAT,Summer,24:00-04:00,NORTH,SOUTH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017,620,SUN,Fall,04:00-06:00,NORTH,SOUTH,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017,620,SUN,Fall,06:00-09:00,NORTH,SOUTH,137.1,161.1,1.66666666666667,36.3895484263744,54.3121693121693,13.3923611111111,17.8564814814815,37.4318783068783,49.9091710758377
2017,620,SUN,Fall,09:00-15:00,NORTH,SOUTH,633.9,639.9,2.91666666666667,36.9416452671397,74.3929541446208,26.8988756613757,35.8651675485009,41.5115299823633,55.3487066431511
2017,620,SUN,Fall,15:00-18:00,NORTH,SOUTH,325.2,325.2,3,43.2262701804368,86.8314373897707,42.4217372134039,56.5623162845385,38.4313492063492,51.2417989417989
2017,620,SUN,Fall,18:00-21:00,NORTH,SOUTH,307.2,311.1,2.83333333333333,27.4683322695709,55.1544973544973,35.1514109347443,46.8685479129924,15.2639329805996,20.3519106407995
2017,620,SUN,Fall,21:00-24:00,NORTH,SOUTH,102.9,122.4,1.33333333333333,68.8207801449025,63.6333333333333,51.7055555555556,68.9407407407407,2.27638888888889,3.03518518518519
2017,620,SUN,Fall,24:00-04:00,NORTH,SOUTH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017,620,SUN,Summer,04:00-06:00,NORTH,SOUTH,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017,620,SUN,Summer,06:00-09:00,NORTH,SOUTH,70,87.4,1.66666666666667,68.968891968892,77.8333333333333,43.25,57.6666666666667,58.8888888888889,78.5185185185185
2017,620,SUN,Summer,09:00-15:00,NORTH,SOUTH,306.6,310.6,2.16666666666667,51.7652711978069,101.647222222222,40.2361111111111,53.6481481481481,62.7708333333333,83.6944444444444
2017,620,SUN,Summer,15:00-18:00,NORTH,SOUTH,181.8,181.8,2.5,41.2260507458472,83.3866666666667,60.125,80.1666666666666,39.4203703703704,52.5604938271605
2017,620,SUN,Summer,18:00-21:00,NORTH,SOUTH,140.2,145.4,1.83333333333333,51.3008419036096,112.116666666667,66.2638888888889,88.3518518518518,42.2777777777778,56.3703703703704
2017,620,SUN,Summer,21:00-24:00,NORTH,SOUTH,70.4,82.2,1.25,73.0132450760138,114.011111111111,85.515873015873,114.021164021164,9.16666666666667,12.2222222222222
2017,620,SUN,Summer,24:00-04:00,NORTH,SOUTH,0,2.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2018,620,MF,Fall,04:00-06:00,NORTH,SOUTH,0,24.3333333333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2018,620,MF,Fall,06:00-09:00,NORTH,SOUTH,495.183333333333,495.183333333333,1.32876712328767,40.619416239489,65.314051595703,33.787100456621,45.0494672754947,33.9508371385084,45.2677828513445
2018,620,MF,Fall,09:00-15:00,NORTH,SOUTH,1354.03333333333,1365.36666666667,1.55251141552511,53.5668526532295,105.725952039057,43.0040716467065,57.3387621956087,46.8019866593693,62.402648879159
2018,620,MF,Fall,15:00-18:00,NORTH,SOUTH,936.8,961.133333333333,2.2283105022831,44.8392676536713,85.5782613549277,35.6256713854874,47.5008951806498,40.5942636192615,54.1256848256821
2018,620,MF,Fall,18:00-21:00,NORTH,SOUTH,763.45,798.766666666667,1.68949771689498,24.2125223722925,50.6019646043257,27.989959305305,37.3199457404066,15.515030177232,20.686706902976
2018,620,MF,Fall,21:00-24:00,NORTH,SOUTH,267.216666666667,298.85,1.07762557077626,36.1121613501817,47.5429967878084,30.4203903634708,40.5605204846277,6.80265075474634,9.07020100632846
2018,620,MF,Fall,24:00-04:00,NORTH,SOUTH,9.06666666666667,12.75,1,7.1875,3.83333333333333,2.26890756302521,3.02521008403361,NULL,NULL
2018,620,MF,Summer,04:00-06:00,NORTH,SOUTH,0,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2018,620,MF,Summer,06:00-09:00,NORTH,SOUTH,352,352,1.5,57.3314172090339,90.5960144927536,29.5662202380952,39.421626984127,57.5226449275362,76.6968599033817
2018,620,MF,Summer,09:00-15:00,NORTH,SOUTH,1184.88333333333,1193.55,2.06597222222222,55.4986489229548,110.550467560184,43.9453999271505,58.593866569534,57.8897147090764,77.1862862787685
2018,620,MF,Summer,15:00-18:00,NORTH,SOUTH,754.183333333333,777.333333333333,2.59722222222222,42.5075004049947,85.5472899670573,36.5036789626191,48.6715719501588,41.2786654100815,55.0382205467753
2018,620,MF,Summer,18:00-21:00,NORTH,SOUTH,665.716666666667,689.333333333333,2.38888888888889,34.7715953068675,67.3148619520208,42.616342210126,56.8217896135014,20.3968040496079,27.1957387328105
2018,620,MF,Summer,21:00-24:00,NORTH,SOUTH,231.55,262.75,1.25,46.9422028946809,65.9281155692146,39.7221444815743,52.9628593087657,11.5003770739065,15.333836098542
2018,620,MF,Summer,24:00-04:00,NORTH,SOUTH,6.93333333333333,9.75,1,51.4903846153846,27.4615384615385,26.8461538461538,35.7948717948718,NULL,NULL
2018,620,SAT,Fall,04:00-06:00,NORTH,SOUTH,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2018,620,SAT,Fall,06:00-09:00,NORTH,SOUTH,130.5,155.5,1.82222222222222,45.6395936863924,69.00429000429,25.2472222222222,33.662962962963,40.9705467372134,54.6273956496179
2018,620,SAT,Fall,09:00-15:00,NORTH,SOUTH,529.25,532.5,2.91111111111111,38.6567866122459,77.9971560846561,36.7458994708995,48.994532627866,36.7724316578483,49.0299088771311
2018,620,SAT,Fall,15:00-18:00,NORTH,SOUTH,188.25,191.5,2.15555555555556,41.3889393621352,80.6815029315029,31.4285714285714,41.9047619047619,44.5912698412698,59.4550264550265
2018,620,SAT,Fall,18:00-21:00,NORTH,SOUTH,166.5,169.75,1.82222222222222,37.715514929376,77.0869408369408,36.6039682539683,48.805291005291,33.4988095238095,44.6650793650794
2018,620,SAT,Fall,21:00-24:00,NORTH,SOUTH,61,70.75,1,50.8192337164751,45.7222222222222,38.0746031746032,50.7661375661376,8.5,11.3333333333333
2018,620,SAT,Fall,24:00-04:00,NORTH,SOUTH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2018,620,SAT,Summer,04:00-06:00,NORTH,SOUTH,0,3.33333333333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2018,620,SAT,Summer,06:00-09:00,NORTH,SOUTH,87,103.666666666667,1.83333333333333,69.2697293060831,105.017222222222,26.6625,35.55,69.2259259259259,92.3012345679012
2018,620,SAT,Summer,09:00-15:00,NORTH,SOUTH,352.833333333333,355,2.91666666666667,47.2592842714756,95.2433068783069,37.4043650793651,49.8724867724868,51.802380952381,69.0698412698413
2018,620,SAT,Summer,15:00-18:00,NORTH,SOUTH,125.5,127.666666666667,2.16666666666667,45.5027753114806,88.0980158730159,35.5309523809524,47.3746031746032,46.45,61.9333333333333
2018,620,SAT,Summer,18:00-21:00,NORTH,SOUTH,111,113.166666666667,1.83333333333333,43.7217651244895,88.3023809523809,51.8527777777778,69.137037037037,28.3107142857143,37.747619047619
2018,620,SAT,Summer,21:00-24:00,NORTH,SOUTH,40.6666666666667,47.1666666666667,1,102.273607279693,100.522222222222,86.2666666666667,115.022222222222,10.4666666666667,13.9555555555556
2018,620,SAT,Summer,24:00-04:00,NORTH,SOUTH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2018,620,SUN,Fall,04:00-06:00,NORTH,SOUTH,0,5.66666666666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2018,620,SUN,Fall,06:00-09:00,NORTH,SOUTH,129.483333333333,152.15,1.64705882352941,25.6831326045334,39.062788611741,11.6199346405229,15.4932461873638,25.1627139744787,33.5502852993049
2018,620,SUN,Fall,09:00-15:00,NORTH,SOUTH,598.683333333333,604.35,2.91176470588235,30.4055803140658,61.2312988158226,21.6119592281357,28.8159456375143,34.5823581284366,46.1098108379154
2018,620,SUN,Fall,15:00-18:00,NORTH,SOUTH,316,318.333333333333,3.13725490196078,43.4437275604686,85.6957193030469,43.8601250845166,58.4801667793554,37.0984859461026,49.4646479281368
2018,620,SUN,Fall,18:00-21:00,NORTH,SOUTH,310.55,314.233333333333,3.01960784313725,25.1207295167725,50.682366191243,34.4079595823004,45.8772794430671,12.7696988645005,17.0262651526673
2018,620,SUN,Fall,21:00-24:00,NORTH,SOUTH,104.533333333333,124.466666666667,1.23529411764706,50.1985800742206,64.6913251028807,43.3504581236288,57.8006108315051,3.14248366013072,4.18997821350763
2018,620,SUN,Fall,24:00-04:00,NORTH,SOUTH,NULL,NULL,1,NULL,32,32,42.6666666666667,NULL,NULL
2018,620,SUN,Summer,04:00-06:00,NORTH,SOUTH,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2018,620,SUN,Summer,06:00-09:00,NORTH,SOUTH,91.4,107.4,1.66666666666667,45.1862516212711,70.0874074074074,12.3291666666667,16.4388888888889,49.0914021164021,65.4552028218695
2018,620,SUN,Summer,09:00-15:00,NORTH,SOUTH,422.6,426.6,2.91666666666667,42.0263196671494,84.6900132275132,33.2832671957672,44.3776895943563,45.9079365079365,61.210582010582
2018,620,SUN,Summer,15:00-18:00,NORTH,SOUTH,232,236,3.30555555555556,42.1717532467532,82.5475683890578,45.2554767533491,60.3406356711321,31.9883766745469,42.6511688993958
2018,620,SUN,Summer,18:00-21:00,NORTH,SOUTH,239.8,242.4,3.25,35.2841795322431,72.3917073170732,49.1914499605989,65.5885999474652,18.6139783856805,24.818637847574
2018,620,SUN,Summer,21:00-24:00,NORTH,SOUTH,97.8,110.8,1.47222222222222,50.1856153011929,88.8814814814815,66.188253968254,88.2510052910053,4.81111111111111,6.41481481481482
2018,620,SUN,Summer,24:00-04:00,NORTH,SOUTH,6.4,9,1,36.75,19.6,19.2833333333333,25.7111111111111,NULL,NULL
2017,640,MF,Fall,04:00-06:00,NORTH,SOUTH,186.15,186.15,4,52.1741637831603,33.2610294117647,NULL,NULL,30.1296459508461,60.2592919016922
2017,640,MF,Fall,06:00-09:00,NORTH,SOUTH,1422.28333333333,1502.58333333333,3.662100456621,36.1664052424215,65.854578302458,16.8331407214566,33.6662814429132,37.0968165163072,74.1936330326145
2017,640,MF,Fall,09:00-15:00,NORTH,SOUTH,1428.36666666667,1486.76666666667,2.08219178082192,33.2976705543708,51.9707327579552,22.3250580398098,44.6501160796196,21.8013184684418,43.6026369368835
2017,640,MF,Fall,15:00-18:00,NORTH,SOUTH,912.5,964.816666666667,2.49771689497717,41.5369091829383,68.896025814148,38.2162334893102,76.4324669786203,17.8480832363387,35.6961664726774
2017,640,MF,Fall,18:00-21:00,NORTH,SOUTH,547.5,547.5,1.66666666666667,27.7480710490323,42.4080550948972,17.8714177673082,35.7428355346164,20.3025840597759,40.6051681195517
2017,640,MF,Fall,21:00-24:00,NORTH,SOUTH,313.9,313.9,1,36.5470732970733,54.7235042735042,30.4505912656598,60.9011825313196,29.0538812785388,58.1077625570776
2017,640,MF,Fall,24:00-04:00,NORTH,SOUTH,0,18.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017,640,MF,Summer,04:00-06:00,NORTH,SOUTH,124.95,124.95,4,55.6066547831254,35.4492424242424,NULL,NULL,32.5557204700062,65.1114409400123
2017,640,MF,Summer,06:00-09:00,NORTH,SOUTH,954.683333333333,1008.58333333333,3.65986394557823,34.48115336814,62.7588960204332,14.7777712499141,29.5555424998282,37.1971538615446,74.3943077230893
2017,640,MF,Summer,09:00-15:00,NORTH,SOUTH,958.766666666667,997.966666666667,2.08163265306122,39.6578935197799,61.84795124763,29.8258685292299,59.6517370584598,24.4374779486387,48.8749558972774
2017,640,MF,Summer,15:00-18:00,NORTH,SOUTH,612.5,647.616666666667,2.49659863945578,38.7973479209048,64.3555652589728,37.1924029129912,74.3848058259823,15.3847509477762,30.7695018955523
2017,640,MF,Summer,18:00-21:00,NORTH,SOUTH,367.5,367.5,1.66666666666667,26.538719444137,40.6760912698413,19.9619472789116,39.9238945578231,15.3941326530612,30.7882653061225
2017,640,MF,Summer,21:00-24:00,NORTH,SOUTH,210.7,210.7,1,27.3833573833574,40.1269841269841,21.3151927437642,42.6303854875284,16.5416666666667,33.0833333333333
2017,640,MF,Summer,24:00-04:00,NORTH,SOUTH,0,12.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017,640,SAT,Fall,04:00-06:00,NORTH,SOUTH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
