Line,LineName,Sub-Region of Primary Service,Predominant Vehicle Type,TSG Service Type, POP , EMP ,Schedule,DataCapture, Average One-Way Trip Distance (km) , Notes ,Service Change 1,Service Change 2,Service Change 3,Service Change 4,Service Change 5,Service Change 6,Service Change 7,Service Change 8,Service Change 9
171/172,COQUITLAM CENTRAL STN/FREMONT?RIVERSIDE,Northeast Sector,Mini-Bus,Basic,"32,000","14,000",http://infomaps.translink.ca/Public_Timetables/148/tt171.pdf; http://infomaps.translink.ca/Public_Timetables/148/tt172.pdf,,, 171/172 run as a connected route; Data reflects Evergreen changes in Dec 2016 ,"- December 2016, Reroute due to Evergreen Extension; Reroute southern portion of former C37 as new 171 via Lougheed Hwy btwn Coquitlam Central Stn and Fremont Village","- December 2016, Reroute due to Evergreen Extension; Reroute northern portion of former C37 as new 172 via Shaughnessy and Prairie btwn Coquitlam Central Stn and Fremont Village","- June 2017, Increase service from 2 trips/hr to 4 trips/hr during AM/PM peak (M-F)","- June 2017, Increase service from 2 trips/hr to 4 trips/hr during AM/PM peak (M-F)",0,0,0,0,0
173/174,COQUITLAM CENTRAL STN/CEDAR?ROCKLIN,Northeast Sector,Mini-Bus,Basic,"42,000","15,000",http://infomaps.translink.ca/Public_Timetables/148/tt173.pdf; http://infomaps.translink.ca/Public_Timetables/148/tt174.pdf,,, 173/174 run as a connected route; Data reflects Evergreen changes in Dec 2016 ,"- December 2016, Reroute due to Evergreen Extension; Reroute southern portion of former C38 as new 173 btwn Coquitlam Central Stn and Cedar Dr","- December 2016, Reroute due to Evergreen Extension; Reroute northern portion of former C38 as new 174 btwn Coquitlam Central Stn and Rocklin Dr","- June 2017, Increase service from 2 trips/hr to 4 trips/hr during AM/PM peak (M-F)",0,0,0,0,0,0
175,COQUITLAM CENTRAL STN/MERIDIAN,Northeast Sector,Mini-Bus,Peak Only Limited,"22,000","19,000",http://infomaps.translink.ca/Public_Timetables/148/tt175.pdf,400m,7.9, Data reflects Evergreen Extension changes in Dec 2016; Low data sampling 2016 ,"- December 2016, Reroute due to Evergreen Extension; Extend WB terminus of former C40 as new 175 from Port Coquitlam Stn to Coquitlam Central Stn",0,0,0,0,0,0,0,0
179,COQUITLAM CENTRAL STN/BUNTZEN LAKE,Northeast Sector,Mini-Bus,Special,"20,000","10,000",http://infomaps.translink.ca/Public_Timetables/148/tt179.pdf,,, This route is summer seasonal only; Data reflects Evergreen changes in Dec 2016 ,0,0,0,0,0,0,0,0,0
180,MOODY CENTRE STN/LOUGHEED STN,Northeast Sector,Mini-Bus,Peak Frequent,"36,000","8,000",http://infomaps.translink.ca/Public_Timetables/148/tt180.pdf,400m,9.6,,"- December 2016, Revise due to Evergreen Extension; Renumber former C24 as new 180; Convert peak trips to standard buses (M-F)","- April 2017, Increase service from 30 to 15m from 0900-1500 (M-F)","- June 2017, Increase service from 30 to 20m from 1900-2100 (M-F); Increase service from 30 to 20m from 1100-1800 and from 60 to 30m from 2100-2400 (Sat; S/H)",0,0,0,0,0,0
181,MOODY CENTRE STN/IOCO,Northeast Sector,Mini-Bus,Basic,"13,000","4,000",http://infomaps.translink.ca/Public_Timetables/148/tt181.pdf,400m,8.3,,"- December 2016, Revise due to Evergreen Extension; Renumber former C25 as new 181","Fall 2018, Increase service during midday from every 60 to 40 min during midday (M-F)",0,0,0,0,0,0,0
182,MOODY CENTRE STN/BELCARRA,Northeast Sector,Mini-Bus,Basic,"17,000","5,000",http://infomaps.translink.ca/Public_Timetables/148/tt182.pdf,400m,19.5, Data reflects Evergreen Extension changes in Dec 2016 ,"- December 2016, Reroute due to Evergreen Extension; Renumber former C26 as new 182; Run all trips via Ravine Dr pattern and discontinue Heritage Mountain Blvd pattern","- April 2017, Increase service from 60 to 30m from 0900-1500 (M-F)",0,0,0,0,0,0,0
183,MOODY CENTRE STN/COQUITLAM CENTRAL STN,Northeast Sector,Std. Bus,Peak Frequent,"50,000","15,000",http://infomaps.translink.ca/Public_Timetables/148/tt183.pdf,400m,13.3, Data reflects Evergreen Extension changes in Dec 2016 ,"- December 2016, Reroute due to Evergreen Extension; Reroute former C27 as new 183 via Pinetree Way and discontinue routing via Landsdowne Dr and Guildford Way to be served by 185","- June 2017, Increase service from 20 to 15m during AM/PM peak to meet WCE (M-F)","- Winter 2017, Route converted from conventional bus to community shuttle before 06:00 and after 20:00 (M-F), and after 20:00 (Sat-Sun)",0,0,0,0,0,0
184/185,MOODY CTR STN/NOONS CREEK ? COQ CTRL STN/LANSDOWNE,Northeast Sector,Mini-Bus,Peak Frequent,"31,000","13,000",http://infomaps.translink.ca/Public_Timetables/148/tt184.pdf; http://infomaps.translink.ca/Public_Timetables/148/tt185.pdf,,, 184/185 run as a connected route; Data reflects Evergreen changes in Dec 2016 ,"- December 2016, Reroute due to Evergreen Extension; Reroute western portion of former C28 as new 184 via Noons Creek Dr","- December 2016, Reroute due to Evergreen Extension; Reroute central portion of former C28 as new 185 via Landsdowne Dr to service discontinued portion of C27","- April 2017, Extend WB AM service to meet 0615 WCE train (M-F)",0,0,0,0,0,0
186,COQUITLAM CENTRAL STN/HAMPTON PARK,Northeast Sector,Mini-Bus,Peak Frequent,"32,000","10,000",http://infomaps.translink.ca/Public_Timetables/148/tt186.pdf,400m,6.4, Data reflects Evergreen Extension changes in Dec 2016 ,"- December 2016, Reroute due to Evergreen Extension; Reroute eastern portion of former C28 as new 186 btwn Coquitlam Central Stn and Hampton Park","- June 2017, Introduce short-turn trips at Pipeline and Robson during AM/PM peak to meet WCE (M-F)",0,0,0,0,0,0,0
187,COQUITLAM CENTRAL STN/PARKWAY BLVD,Northeast Sector,Mini-Bus,Peak Frequent,"25,000","9,000",http://infomaps.translink.ca/Public_Timetables/148/tt187.pdf,400m,6.1,,"- December 2016, Revise due to Evergreen Extension; Renumber former C29 as new 187","- June 2017, Introduce short-turn trips at Robson and Waterford during AM/PM peak to meet WCE (M-F)",0,0,0,0,0,0,0
188,COQUITLAM CENTRAL STN/PORT COQ STN,Northeast Sector,Std. Bus,Peak Frequent,"52,000","16,000",http://infomaps.translink.ca/Public_Timetables/148/tt188.pdf,400m,12.6,,"- Spring 2014, Remove off peak routing along Shaughnessy/Wilson/Mary Hill for all day route consistency & to improve reliability","- Winter 2014, Convert vehicle from mini-bus to conventional 40' bus during midday (M-F)","- December 2016, Revise due to Evergreen Extension; Convert all buses to standards (all days)",0,0,0,0,0,0
189,COQUITLAM CENTRAL STN/LAFARGE PARK,Northeast Sector,Mini-Bus,Standard,"18,000","8,000",http://infomaps.translink.ca/Public_Timetables/148/tt189.pdf,400m,4.1,,"- December 2016, Reroute due to Evergreen Extension; Reroute former C30 as new 189 via Lincoln Ave and discontinue route via Glen Dr",0,0,0,0,0,0,0,0
191,COQUITLAM CENTRAL STN/PRINCETON,Northeast Sector,Std. Bus,Standard,"33,000","9,000",http://infomaps.translink.ca/Public_Timetables/148/tt191.pdf,400m,7.2, New route to Burke Mountain Dec 2016 ,"- December 2016, Introduce new 30m service btwn Coquitlam Central Stn and Burke Mountain via Pinetree Way and David Ave",0,0,0,0,0,0,0,0
209,UPPER LYNN VALLEY/VANCOUVER,North Shore,Std. Bus,Special,"75,000","128,000",http://infomaps.translink.ca/Public_Timetables/148/tt209.pdf,400m,16.5,,"- Summer 2014, Operate last 210 PM trip (leaving Underwood and Dempsey) as 209 (all days)","- Fall 2014, Reduce freq from 30 to 60m from 24-26hr (S/H) ",0,0,0,0,0,0,0
210,UPPER LYNN VALLEY/VANCOUVER,North Shore,Std. Bus,Peak Frequent,"71,000","123,000",http://infomaps.translink.ca/Public_Timetables/148/tt210.pdf,400m,16.5,,"- Summer 2014, Operate last 210 PM trip (leaving Underwood and Dempsey) as 209 (all days)",0,0,0,0,0,0,0,0
211,SEYMOUR/PHIBBS EXCH/VANCOUVER,North Shore,Std. Bus,Peak Frequent,"65,000","123,000",http://infomaps.translink.ca/Public_Timetables/148/tt211.pdf,400m,16,,0,0,,0,0,0,0,0,0
212,DEEP COVE/PHIBBS EXCH,North Shore,Std. Bus,Standard,"11,000","6,000",http://infomaps.translink.ca/Public_Timetables/148/tt212.pdf,400m,8.8,,0,0,0,0,0,0,0,0,0
214,BLUERIDGE/PHIBBS EXCH/VANCOUVER,North Shore,Mini-Bus,Standard,"59,000","122,000",http://infomaps.translink.ca/Public_Timetables/148/tt214.pdf,400m,6.9,,"- Fall 2014, Reduce freq from 20 to 30m from 6-7hr & 15-19hr (M-F)",0,0,0,0,0,0,0,0
215,INDIAN RIVER/PHIBBS EXCH,North Shore,Mini-Bus,Peak Frequent,"11,000","6,000",http://infomaps.translink.ca/Public_Timetables/148/tt215.pdf,400m,7.1, Limited data sampling 2015 ,"- Fall 2014, Discontinue route extension to/from Deep Cove","- Fall 2014, Increase freq from 60 to 30m early morning/evening periods (Sat, S/H)","- Spring 2018, Change route name from C15 to 215",0,0,0,0,0,0
227,LYNN VALLEY CENTRE/PHIBBS EXCH,North Shore,Mini-Bus,Standard,"14,000","6,000",http://infomaps.translink.ca/Public_Timetables/148/tt227.pdf,400m,7.1, Limited data sampling 2015 ,0,0,0,0,0,0,0,0,0
228,LYNN VALLEY/LONSDALE QUAY,North Shore,Std. Bus,Peak Frequent,"34,000","8,000",http://infomaps.translink.ca/Public_Timetables/148/tt228.pdf,400m,7.8,,"- Winter 2018, Extend 07:15 SB trip from Grand Boulevard to Lonsdale Quay (M-F)",0,0,0,0,0,0,0,0
229,LYNN VALLEY/LONSDALE QUAY,North Shore,Std. Bus,Standard,"42,000","14,000",http://infomaps.translink.ca/Public_Timetables/148/tt229.pdf,400m,6.2,,"- Spring 2018, Increase service 13:00-20:00 from every 30 to 20 min (Sat), and 21:00-24:00 from every 60 to 30 min (Sat); Increase service 14:00-20:00 from every 30 to 20 min (Sun), and 21:00-24:00 from every 60 to 30 min (Sun)","- Fall 2018, Increase service 14:00-16:00 from every 30 to 20 min, 16:00-18:00 from every 30 to 15 min, and 21:00-24:00 from every 60 to 30 min (M-F)",0,0,0,0,0,0,0
230,UPPER LONSDALE/LONSDALE QUAY,North Shore,Std. Bus,Standard,"38,000","12,000",http://infomaps.translink.ca/Public_Timetables/148/tt230.pdf,400m,5.7,,"- Spring 2014, Convert three inbound ""NIS"" trips to revenue trips & adjust departures for consistent 15m freq during PM peak (M-F)",0,0,0,0,0,0,0,0
231,HARBOURSIDE/LONSDALE QUAY,North Shore,Std. Bus,Peak Only Limited,"14,000","10,000",http://infomaps.translink.ca/Public_Timetables/148/tt231.pdf,400m,2.8,,"- Spring 2014, Reduce AM peak freq from 20 to 30m (M-F); adjust departures to enhance connections with SeaBus",0,0,0,0,0,0,0,0
232,GROUSE MOUNTAIN/PHIBBS EXCH,North Shore,Std. Bus,Standard,"44,000","14,000",http://infomaps.translink.ca/Public_Timetables/148/tt232.pdf,400m,13.3,,0,0,0,0,0,0,0,0,0
236,GROUSE MOUNTAIN/LONSDALE QUAY,North Shore,Std. Bus,Standard,"24,000","12,000",http://infomaps.translink.ca/Public_Timetables/148/tt236.pdf,400m,9.6,,"- Fall 2014, Reduce freq from 15 to 30m from 9-15hr (M-F)",0,0,0,0,0,0,0,0
239,CAPILANO UNIVERSITY/PARK ROYAL,North Shore,Std. Bus,All Day Frequent,"37,000","24,000",http://infomaps.translink.ca/Public_Timetables/148/tt239.pdf,400m,13.2,,"- Spring 2014, Stop number 61772 converted to unload-only (Marine Drive at Park Royal)","- Fall 2018, Reroute trips after 13:00 to run on Lillooet Rd instead of Old Lillooet Rd",0,0,0,0,0,0,0
240,15TH STREET/VANCOUVER,North Shore,Std. Bus,All Day Frequent,"86,000","134,000",http://infomaps.translink.ca/Public_Timetables/148/tt240.pdf,400m,12.5,,"- September 2017, Increase service from 9-15 to 8-12m during AM peak and from 10 to 9m during PM peak (M-F); Increase service from 12 to 10 min from 1300-1800 (Sat)",0,,0,0,0,0,0,0
241,UPPER LONSDALE/VANCOUVER,North Shore,Std. Bus,Peak Only Limited,"92,000","135,000",http://infomaps.translink.ca/Public_Timetables/148/tt241.pdf,400m,11.7,,0,0,0,0,0,0,0,0,0
242,LYNN VALLEY/VANCOUVER,North Shore,Std. Bus,Special,"114,000","143,000",http://infomaps.translink.ca/Public_Timetables/148/tt242.pdf,400m,13.1,,"- Summer 2016, Revise northern terminus from Upper Lonsdale to Lynn Valley to match N24 routing",0,0,0,0,0,0,0,0
246,LONSDALE QUAY/HIGHLAND/VANCOUVER,North Shore,Std. Bus,Peak Frequent,"100,000","133,000",http://infomaps.translink.ca/Public_Timetables/148/tt246.pdf,400m,9.4,,0,0,0,0,0,0,0,0,0
247,UPPER CAPILANO/GROUSE MOUNTAIN/VANCOUVER,North Shore,Std. Bus,Peak Only Limited,"76,000","123,000",http://infomaps.translink.ca/Public_Timetables/148/tt247.pdf,400m,10.9, Low data sampling 2014-2015 ,"- Winter 2018, Extend 16:05 NB trip from Montroyal Blvd to Grouse Mtn (M-F)",0,0,0,0,0,0,0,0
250,HORSESHOE BAY/DUNDARAVE/VANCOUVER,North Shore,Std. Bus,All Day Frequent,"75,000","121,000",http://infomaps.translink.ca/Public_Timetables/148/tt250.pdf,400m,15.2, No data sampling 2014 ,"- April 2017, Increase service by one trip per hr from 9-30 to 8-15m from 0800-2300 btwn Dundarave and Downtown Vancouver (Sat)",0,0,0,0,0,0,0,0
251,QUEENS/PARK ROYAL,North Shore,Mini-Bus,Basic,"16,000","9,000",http://infomaps.translink.ca/Public_Timetables/148/tt251.pdf,400m,9.8, No data sampling 2014; Limited data sampling 2015 ,0,0,0,0,0,0,0,0,0
252,INGLEWOOD/PARK ROYAL,North Shore,Mini-Bus,Basic,"16,000","9,000",http://infomaps.translink.ca/Public_Timetables/148/tt252.pdf,400m,6.6, No data sampling 2014; Limited data sampling 2015 ,0,0,0,0,0,0,0,0,0
253,CAULFEILD/VANCOUVER/PARK ROYAL,North Shore,Std. Bus,Basic,"75,000","121,000",http://infomaps.translink.ca/Public_Timetables/148/tt253.pdf,400m,13.5, No data sampling 2014; Low data sampling 2016 ,"- April 2017, Increase service from 120 to 60m all day (S/H)",0,0,0,0,0,0,0,0
254,BRITISH PROPERTIES/PARK ROYAL/VANCOUVER,North Shore,Std. Bus,Basic,"72,000","119,000",http://infomaps.translink.ca/Public_Timetables/148/tt254.pdf,400m,10, No data sampling 2014; Low data sampling 2016 ,"- April 2017, Increase service from 120 to 60m all day (S/H)",0,0,0,0,0,0,0,0
255,DUNDARAVE/CAPILANO UNIVERSITY,North Shore,Std. Bus,Peak Frequent,"52,000","25,000",http://infomaps.translink.ca/Public_Timetables/148/tt255.pdf,400m,16.5, No data sampling 2014 ,"- April 2017, Increase service from 30 to 20m during AM/PM peak (M-F)",0,0,0,0,0,0,0,0
256,FOLKSTONE WAY/WHITBY ESTATE/SPURAWAY,North Shore,Mini-Bus,Basic,"17,000","9,000",http://infomaps.translink.ca/Public_Timetables/148/tt256.pdf,400m,7.9, No data sampling 2014; Limited data sampling 2015 ,0,0,0,0,0,0,0,0,0
257,HORSESHOE BAY/VANCOUVER EXPRESS,North Shore,Artic. Bus,Standard,"55,000","116,000",http://infomaps.translink.ca/Public_Timetables/148/tt257.pdf,400m,21.8, No data sampling 2014 ,"- Summer 2016, Adjust stopping pattern to improve travel time","- June 2017, Increase service from 15-30 to 15-20m from 0900-1200 and 1600-1900 (M-F); Add 1 trip/hr during busy periods (Sat; S/H)","- Fall 2018, Introduce new service span 05:50-06:20 and 23:00-23:20 (All days); Provide consistent 20 min service from 07:00-20:00 (All days)",0,0,0,0,0,0
258,UBC/WEST VANCOUVER,North Shore,Std. Bus,Peak Only Limited,"23,000","34,000",http://infomaps.translink.ca/Public_Timetables/148/tt258.pdf,400m,18.8, No data sampling 2014; Low data sampling 2016-2018 ,0,0,0,0,0,0,0,0,0
259,LIONS BAY/HORSESHOE BAY,North Shore,Std. Bus,Peak Only Limited,"2,000",500,http://infomaps.translink.ca/Public_Timetables/148/tt259.pdf,400m,16.5, Route combined with 262 in Oct 2018; See 262 for latest data; No data sampling 2014; Low data sampling 2015-2018 ,"- Fall 2018, Remove interline with 257",0,0,0,0,0,0,0,0
262,LIONS BAY/CAULFEILD,North Shore,Mini-Bus,Basic,"3,000","1,000",http://infomaps.translink.ca/Public_Timetables/148/tt262.pdf,400m,17.9, Route combined with 259 in Oct 2018; Data reflects both starting Sep 2018; No data sampling 2014; Limited data sampling 2015 ,"- Spring 2018, Change route name from C12 to 262","- Winter 2018, Convert 259 trips to 262 schedule (M-F); 259 discontinued (M-F)",0,0,0,0,0,0,0
280,BLUEWATER/SNUG COVE,North Shore,Mini-Bus,Basic,500,500,http://infomaps.translink.ca/Public_Timetables/148/tt280.pdf,400m,12.5, No data sampling 2014-2017 ,"- April 2017, Extend WB service to 2000 (M-F)","- Spring 2018, Change route name from C10 to 280",0,0,0,0,0,0,0
281,EAGLE CLIFF/SNUG COVE,North Shore,Mini-Bus,Basic,"1,000",300,http://infomaps.translink.ca/Public_Timetables/148/tt281.pdf,400m,6.6, Data reflects split with 282 in summer 2018; No data sampling 2014-2017 ,"- April 2017, Extend WB service to 2000 (M-F)","- Spring 2018, Change route name from C11 to 281",0,0,0,0,0,0,0
282,MT GARDNER/SNUG COVE,North Shore,Mini-Bus,Special,400,400,http://infomaps.translink.ca/Public_Timetables/148/tt282.pdf,400m,, Data reflects split with 281 in summer 2018; See 281 for earlier data ,"- Fall 2018, Introduce new route, replaces Mt Gardner pattern of route 281 (Sat-Sun)",0,0,0,0,0,0,,
301,NEWTON EXCH/BRIGHOUSE STN,Richmond,Std. Bus,Basic,"71,000","24,000",http://infomaps.translink.ca/Public_Timetables/148/tt301.pdf,400m,30.8,,"- April 2017, Increase service from 20 to 15m during AM/PM peak (M-F)",0,0,0,0,0,0,0,0
310,SCOTTSDALE EXCH/LADNER EXCH,South of Fraser,Mini-Bus,Basic,"26,000","6,000",http://infomaps.translink.ca/Public_Timetables/148/tt310.pdf,400m,19.5,,"- Summer 2018, Change route name from C76 to 310","- Winter 2018, Increase service 07:40-08:40 WB from every 60 to 30 min (Sat; Sun)",0,0,0,0,0,0,0
311,SCOTTSDALE EXCH/BRIDGEPORT STN,South of Fraser,Std. Bus,Peak Only Limited,"20,000","7,000",http://infomaps.translink.ca/Public_Timetables/148/tt311.pdf,400m,26.9,,"- Summer 2014, Reduce freq from 15 to 20m from 6-7h & 15-17hr; from 12 to 15m from 7-8hr (M-F)",0,0,0,0,0,0,0,0
312,SCOTTSDALE EXCH/SCOTT ROAD STN,South of Fraser,Std. Bus,Standard,"35,000","6,000",http://infomaps.translink.ca/Public_Timetables/148/tt312.pdf,400m,11.9,,"- Winter 2018, Add last SB trip at 01:34 (M-F)",0,0,0,0,0,0,0,0
314,SURREY CENTRAL STN/SUNBURY,South of Fraser,Std. Bus,Basic,"58,000","18,000",http://infomaps.translink.ca/Public_Timetables/148/tt314.pdf,400m,9.2,,0,0,0,0,0,0,0,0,0
316,SURREY CENTRAL STN/SCOTTSDALE EXCH,South of Fraser,Std. Bus,Basic,"54,000","12,000",http://infomaps.translink.ca/Public_Timetables/148/tt316.pdf,400m,11.6,,0,0,0,0,0,0,0,0,0
319,SCOTT ROAD STN/NEWTON EXCH,South of Fraser,Std. Bus,All Day Frequent,"48,000","15,000",http://infomaps.translink.ca/Public_Timetables/148/tt319.pdf,400m,12,,"- Fall 2014, Increase freq from 15 to 10m btw 18-21hr & from 30 to 20m btw 23-24hr (M-F)","- April 2017, Increase service from 8 to 7m during AM/PM peak; from 10 to 9m from 1700-2100; from 20 to 15m from 2100-2400 (M-F)","- Winter 2017, Increase service 06:00-07:00 NB from every 20 to 15 min (Sat)","- Summer 2018, Increase service 17:00-23:00 from every 8-20 to 7-15 min (M-F)","- Fall 2018, Increase service 17:00-25:00 from every 15-30 to 12-20 min (Sat)","- Winter 2018, Add first NB trip at 04:33 (M-F); Increase service 05:00-07:30 from every 10-20 to 12 min (Sat)",0,0,0
320,LANGLEY/FLEETWOOD/SURREY CTRL STN,South of Fraser,Std. Bus,All Day Frequent,"85,000","39,000",http://infomaps.translink.ca/Public_Timetables/148/tt320.pdf,400m,15.6,,"- Fall 2016, Reroute via from 64th Ave to 60th Ave near Cloverdale","- Fall 2018, Increase service 06:00-08:00 and 16:00-19:00 from every 15 to 12 min (M-F)",0,0,0,0,0,0,0
321,WHITE ROCK CENTRE/NEWTON EXCH/SURREY CTRL STN,South of Fraser,Std. Bus,All Day Frequent,"102,000","39,000",http://infomaps.translink.ca/Public_Timetables/148/tt321.pdf,400m,21,,"- Fall 2018, Increase service 16:00-18:00 from every 15 to 12 min (M-F)",0,0,0,0,0,0,0,0
322,NEWTON EXCH/SCOTTSDALE EXCH,South of Fraser,Mini-Bus,Standard,"55,000","9,000",http://infomaps.translink.ca/Public_Timetables/148/tt322.pdf,400m,14.7,,"- Summer 2018, Change route name from C75 to 322",0,0,0,0,0,0,0,0
323,NEWTON EXCH/SURREY CENTRAL STN,South of Fraser,Std. Bus,Peak Frequent,"44,000","23,000",http://infomaps.translink.ca/Public_Timetables/148/tt323.pdf,400m,10.3,,"- Winter 2017, Increase service 08:00-09:00 SB from every 15 to 12 min (M-F)","- Fall 2018, Increase service 06:00-08:00 from every 20 to 15 min, 16:00-19:00 from every 15 to 12 min, and 19:00-20:00 from every 30 to 20 min (M-F)",,,0,0,0,0,0
324,NEWTON EXCH/SURREY CENTRAL STN,South of Fraser,Std. Bus,Standard,"46,000","18,000",http://infomaps.translink.ca/Public_Timetables/148/tt324.pdf,400m,9.8,,0,0,0,0,0,0,0,0,0
325,NEWTON EXCH/SURREY CENTRAL STN,South of Fraser,Std. Bus,Standard,"43,000","14,000",http://infomaps.translink.ca/Public_Timetables/148/tt325.pdf,400m,7.5,,"- Winter 2018, Add first trip at 05:35 (M-F)",,0,0,0,0,0,0,0
326,GUILDFORD EXCH/SURREY CENTRAL STN,South of Fraser,Std. Bus,Basic,"64,000","23,000",http://infomaps.translink.ca/Public_Timetables/148/tt326.pdf,400m,11.5,,0,0,0,0,0,0,0,0,0
329,SURREY CENTRAL STN/SCOTTSDALE EXCH,South of Fraser,Std. Bus,Basic,"63,000","21,000",http://infomaps.translink.ca/Public_Timetables/148/tt329.pdf,400m,10,,0,0,0,0,0,0,0,0,0
335,NEWTON EXCH/SURREY CENTRAL STN,South of Fraser,Std. Bus,Peak Frequent,"103,000","26,000",http://infomaps.translink.ca/Public_Timetables/148/tt335.pdf,400m,13.4,,"- Summer 2015, Add two trips departing Surrey Central on the PM peak shoulder (M-F)","- Summer 2015, Extend the 2140hr trip from Guildford to Newton Exchange (M-F)","- April 2017, Increase service from 10 to 8-9m btwn Surrey Central and Guilford and from 20 to 15m btwn Guilford and Newton from 1600-1800 (M-F); Increase service from 30 to 20m from 1600-2000 (Sat) and 1700-1900 (S/H); Extend 30m service until 2400 (all days)","- Fall 2018, 14:30 trip extended to Newton Exchange (M-F)",0,0,0,0,0
337,FRASER HEIGHTS/GUILDFORD EXCH/SURREY CTRL STN,South of Fraser,Std. Bus,All Day Frequent,"47,000","16,000",http://infomaps.translink.ca/Public_Timetables/148/tt337.pdf,400m,8.6,,"- Winter 2017, Increase service 19:00-21:00 from every 30 to 15 min, and 21:00-22:00 from every 30 to 20 min (M-F)","- Spring 2018, Increase service 07:00-09:00 from every 30 to 15 min (Sat); Increase service 08:00-10:00 from every 30 to 15 min (Sun)","- Fall 2018, Increase service 07:00-08:00 from every 15 to 12 min (M-F)",0,0,0,0,0,0
340,SCOTTSDALE EXCH/22ND ST STN,South of Fraser,Std. Bus,Peak Frequent,"25,000","8,000",http://infomaps.translink.ca/Public_Timetables/148/tt340.pdf,400m,16.1,,"- Spring 2014, Reduce freq from 20 to 30m from 9-15hr (M-F); 11-19hr (Sat, S/H)","- Spring 2016, Add one bus from 6-19hr for Pattullo Bridge Rehabilitation (M-F)","- Fall 2016, End of Pattullo Bridge Rehabilitation; return to regular service levels (remove one bus from 6-19hr)",0,0,0,0,0,0
341,GUILDFORD EXCH/NEWTON EXCH,South of Fraser,Std. Bus,Standard,"48,000","12,000",http://infomaps.translink.ca/Public_Timetables/148/tt341.pdf,400m,9.1, Data reflects split with 342 in Sep 2016 ,"- Fall 2016, Split 341 at Newton Exchange into two separate routes; 341 operates btw Guildford and Newton Exchange",0,0,0,0,0,0,0,0
342,LANGLEY CENTRE/NEWTON EXCH,South of Fraser,Std. Bus,Standard,"51,000","24,000",http://infomaps.translink.ca/Public_Timetables/148/tt342.pdf,400m,20.8, Data reflects split with 341 in Sep 2016; See 341 for earlier data ,"- Fall 2016, Service introduction; new service to replace southern half of 341 btw Newton Exchange and Langley Ctr",0,0,0,0,0,0,0,0
345,KING GEORGE STN/WHITE ROCK CENTRE,South of Fraser,Std. Bus,Basic,"57,000","24,000",http://infomaps.translink.ca/Public_Timetables/148/tt345.pdf,400m,20.1,,"- Spring 2018, Convert final 3 trips of the night from community shuttle to conventional",0,0,0,0,0,0,0,0
351,CRESCENT BEACH/BRIDGEPORT STN,South of Fraser,Std. Bus,All Day Frequent,"40,000","15,000",http://infomaps.translink.ca/Public_Timetables/148/tt351.pdf,400m,44.2,,"- Spring 2015, Add one trip departing Bridgeport Station on PM peak shoulder (M-F)","- Summer 2015, Terminate two AM peak trips at White Rock Ctr to reduce service in Crescent Beach area (M-F)","- September 2017, Increase service from 9-15 to 8-12m during AM/PM peak (M-F)","- Winter 2017, Increase service 07:00-08:00 MB from every 8.5 to 7.5 min (M-F)","- Fall 2018, Shorten trips 24:00-26:00 to 128 St/Crescent Rd unless further stop requested by cusomer","- Winter 2018, Add 2 PM peak trips 18:00-19:00 btw South Surrey P&R and Bridgeport Stn (M-F)",0,0,0
352,OCEAN PARK /BRIDGEPORT STN,South of Fraser,Std. Bus,Peak Only Limited,"18,000","4,000",http://infomaps.translink.ca/Public_Timetables/148/tt352.pdf,400m,44.8,,"- Summer 2014, Adjust headways to consistent 15m freq from 6-7hr (M-F)",0,0,0,0,0,0,0,0
354,WHITE ROCK SOUTH/BRIDGEPORT STN,South of Fraser,Std. Bus,Peak Only Limited,"40,000","18,000",http://infomaps.translink.ca/Public_Timetables/148/tt354.pdf,400m,41, Data reflects new service area to Morgan Creek in Sep 2017; Low data sampling 2014 ,"- September 2017, Reroute to serve Morgan Creek via 160th Street and 32nd Avenue ",0,0,0,0,0,0,0,0
360,OCEAN PARK/PEACE ARCH HOSPITAL,South of Fraser,Mini-Bus,Basic,"28,000","7,000",http://infomaps.translink.ca/Public_Timetables/148/tt360.pdf,400m,12.2,,"- Fall 2014, Reduce freq from 30 to 60m from 9-15hr (M-F)","- September 2017, Renumber former C50 to new 360","- April 2017, Increase service from 60 to 30m from 0600-1500 (M-F)",0,0,0,0,0,0
361,OCEAN PARK/WHITE ROCK CENTRE,South of Fraser,Mini-Bus,Basic,"29,000","9,000",http://infomaps.translink.ca/Public_Timetables/148/tt361.pdf,400m,11.2,,"- Fall 2014, Reduce freq from 30 to 60m from 9-15hr (M-F)","- September 2017, Renumber former C51 to new 361","- April 2017, Increase service from 60 to 30m from 0900-1500 (M-F)",0,0,0,0,0,0
362,SEASIDE/WHITE ROCK CENTRE,South of Fraser,Mini-Bus,Standard,"20,000","8,000",http://infomaps.translink.ca/Public_Timetables/148/tt362.pdf,400m,3.5,,"- Fall 2014, Reduce freq from 30 to 60m from 9-15hr, 19-22hr (M-F), 8-24hr (Sat) & 8-22hr (S/H)","- September 2017, Renumber former C52 to new 362; permanently maintain summer seasonal increase from 60 to 30m from 1900-2200 M-F, 0800-2400 Sat, 0800-2200 S/H","- April 2017, Increase service from 60 to 30m from 0900-1500 (M-F)",0,0,0,0,0,0
