Line,LineName,Sub-Region of Primary Service,Predominant Vehicle Type,TSG Service Type, POP , EMP ,Schedule,DataCapture, Average One-Way Trip Distance (km) , Notes ,Service Change 1,Service Change 2,Service Change 3,Service Change 4,Service Change 5,Service Change 6,Service Change 7,Service Change 8,Service Change 9
601,SOUTH DELTA/BOUNDARY BAY/BRIDGEPORT,Ladner/South Delta/Tsaww.,Std. Bus,Peak Frequent,"25,000","10,000",http://infomaps.translink.ca/Public_Timetables/148/tt601.pdf,400m,28.7, Data reflects new service area to Tsawwassen Mills in Sep 2016 ,"- Fall 2016, Reroute from 56th St to 52nd St to serve new Tsawwassen shopping mall","- Fall 2016, Convert one regular pattern trip to a Boundary Bay pattern trip at 8hr to address gap in coverage (M-F)","- April 2017, Increase service from 30 to 20m from 2100-2400 (all days)","- Winter 2018, Extend last trip to Bridgeport Stn from Steveston Hwy (Sat; S/H)",0,0,0,0,0
602,TSAWWASSEN HEIGHTS/BRIDGEPORT,Ladner/South Delta/Tsaww.,Std. Bus,Peak Only Limited,"14,000","6,000",http://infomaps.translink.ca/Public_Timetables/148/tt602.pdf,400m,25.8,,0,0,0,0,0,0,0,0,0
603,BEACH GROVE/BRIDGEPORT,Ladner/South Delta/Tsaww.,Std. Bus,Peak Only Limited,"18,000","6,000",http://infomaps.translink.ca/Public_Timetables/148/tt603.pdf,400m,14.7,,0,0,0,0,0,0,0,0,0
604,ENGLISH BLUFF/BRIDGEPORT,Ladner/South Delta/Tsaww.,Std. Bus,Peak Only Limited,"18,000","3,000",http://infomaps.translink.ca/Public_Timetables/148/tt604.pdf,400m,14.6, Low data sampling 2016 ,0,0,0,0,0,0,0,0,0
606,LADNER RING,Ladner/South Delta/Tsaww.,Std. Bus,Peak Only Limited,"17,000","3,000",http://infomaps.translink.ca/Public_Timetables/148/tt606.pdf,400m,5.4, Low data sampling 2015 and 2018 ,0,0,0,0,0,0,0,0,0
608,LADNER RING,Ladner/South Delta/Tsaww.,Std. Bus,Peak Only Limited,"17,000","3,000",http://infomaps.translink.ca/Public_Timetables/148/tt608.pdf,400m,4.8, Low data sampling 2018 ,0,0,0,0,0,0,0,0,0
609,TSAWWASSEN FIRST NATION/SOUTH DELTA,Ladner/South Delta/Tsaww.,Mini-Bus,Basic,"8,000","4,000",http://infomaps.translink.ca/Public_Timetables/148/tt609.pdf,400m,8.1, Data reflects new service area to Tsawwassen Mills Sep 2016; No data sampling 2014; Low data sampling 2015-2017 ,"- Fall 2016, Reroute via Canoe Pass Way & Salish Sea Dr to serve new Tsawwassen shopping mall","- Winter 2017, Operate route by CMBC (all days)",0,0,0,0,0,0,0
614,ENGLISH BLUFF/SOUTH DELTA REC CENTRE,Ladner/South Delta/Tsaww.,Mini-Bus,Basic,"15,000","3,000",http://infomaps.translink.ca/Public_Timetables/148/tt614.pdf,400m,6.6, Low data sampling 2014 and 2016; No data sampling in 2015 ,"- Fall 2018, Change route name from C84 to 614",0,0,0,0,0,0,0,0
616,LADNER SOUTH/LADNER EXCH,Ladner/South Delta/Tsaww.,Mini-Bus,Basic,"13,000","3,000",http://infomaps.translink.ca/Public_Timetables/148/tt616.pdf,400m,3.7,,"- Fall 2018, Change route name from C86 to 616",0,0,0,0,0,0,0,0
617,EAST LADNER/LADNER EXCH,Ladner/South Delta/Tsaww.,Mini-Bus,Basic,"8,000","1,000",http://infomaps.translink.ca/Public_Timetables/148/tt617.pdf,400m,2.4,,"- Fall 2018, Change route name from C87 to 617",0,0,0,0,0,0,0,0
