Year,line_no,Annual_APC_Boardings,AVG_Daily_APC_Boardings_MF,AVG_Daily_APC_Boardings_Sat,AVG_Daily_APC_Boardings_SunHol,Annual_Service_Cost,Annual_Revenue_Hours,Annual_Service_Hours,Service_Cost_Per_APC_Boarding,Average_APC_Boarding_Per_Revenue_Hour,Average_Passenger_Turnover,Perc_Trips_w_Overcrowding,Average_Passenger_Load_Bi_Directional,Average_Peak_Load_Factor,Average_Capacity_Utilization,Percentage_of_Revenue_Hours_with_Overcrowding,Annual_Revenue_Hours_with_Overcrowding,On_Time_Performance_Percentage,Bus_Bunching_Percentage,AVG_speed_km_per_hr
2015,116,635488.440468053,2356.21124310298,580.317307692308,248.827,2060208.8,20136.0333333333,21449.7833333333,3.24192962264208,31.5597630351585,60.5475462898578,5.461244900644,19.472075220283,42.3043893608918,NULL,6.251739,1258.8443959,81.297102012275,0.065291712194,24.5980930749776
2016,116,714202.264996115,2590.37794093684,679.838522012578,498.702857142857,2082002.75,20569.9666666667,21670.0166666667,2.9151444234237,34.7206330748931,67.0942341599316,10.422424003158,21.3543944179258,46.1373128741022,24.2984325545522,11.880731,2443.85602976667,79.667905919519,0.15558626337,24.2835978498717
2017,116,809243.681971475,2914.23656891184,820.63873015873,586.721857923497,2042657.8,20101.8333333333,21235.15,2.52415662365592,40.2572078154467,77.5758883365219,17.349081364829,24.1877313301798,52.1385389945676,24.6168555123869,19.417241,3903.213182,82.679631168931,0.160805235238,24.8963175532901
2018,116,1003969.69539744,3695.45988635165,786.311813186813,599.794603174603,2070382.05,19992.1,21515.3166666667,2.06219576097903,50.2183210066695,88.0317556195589,21.88740079365,28.0901293891338,60.3580555017024,31.5479879191015,24.738432,4945.7256664,87.228559517944,0.20127668063,25.9794057113124
2014,119,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,119,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,119,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017,119,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2018,119,2673292.62278529,8127.64651451167,6384.40139329154,4883.33063954807,3673451.25,33121.7833333333,34985.25,1.37412987216216,80.711011115604,72.7188930000777,1.169454409914,20.3132244610832,40.6264489221663,23.6311264495316,1.253811,415.280919433333,88.032935594166,3.441407578037,16.8243023821176
2014,123,1953545.86358364,6282.43821225441,3594.36058594184,3159.25644892448,3989284.25,36205.8,37993.1833333333,2.04207350560071,53.9567103498234,80.1533277638541,2.993145947305,23.2322873818629,46.4645747637259,NULL,3.261025,1180.671138,81.685431656337,0.517290768881,21.6560313311717
